time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,model_architecture_profile,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature
0.002399,0.003039,0.0027380476190476,0.002799,0.00021260078309,21.0,0.019749,0.0237889999999999,0.0218189499999999,0.021809,0.001147820128548,20.0,0.035503,0.0491829999999999,0.039123,0.0386829999999999,0.003030181512715,20,0.002679,0.007199,0.003061,0.002839,0.0009534337942405,20,0.006119,0.006479,0.006279,0.006239,9.295160030897816e-05,20,0.020029,0.023829,0.021835,0.021949,0.0011633933126849,20.0,32,4,2048,768,151936,True,True,False,1,1,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.049303,0.062943,0.05744295,0.056703,0.0044344936630352,20,0.003839,0.004199,0.003981,0.003959,8.986656775464394e-05,20,0.006799,0.007199,0.007031,0.007019,0.0001128538878373,20,,,,,,,32,4,2048,768,151936,True,True,False,32,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.054303,0.063863,0.0560508499999999,0.055403,0.0021050302913497,20,0.003799,0.004279,0.004123,0.004139,9.707728879609264e-05,20,0.006679,0.007679,0.006985,0.006919,0.0002660150371689,20,,,,,,,32,4,2048,768,151936,True,True,False,31,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.052703,0.064663,0.05577095,0.055103,0.0024498136352588,20,0.003879,0.004079,0.004003,0.003999,5.782732917920394e-05,20,0.006639,0.007439,0.006925,0.006879,0.0001915306763941,20,,,,,,,32,4,2048,768,151936,True,True,False,30,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.0528229999999999,0.060063,0.0557869999999999,0.0555629999999999,0.0020254737717383,20,0.003999,0.004239,0.0040929999999999,0.004079,6.606057825965486e-05,20,0.006599,0.007119,0.006905,0.006939,0.0001855909480551,20,,,,,,,32,4,2048,768,151936,True,True,False,29,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.051823,0.058823,0.054485,0.054123,0.0015742159953449,20,0.003879,0.004079,0.003999,0.003999,6.196773353931879e-05,20,0.006679,0.007119,0.006883,0.006839,0.0001672841893306,20,,,,,,,32,4,2048,768,151936,True,True,False,28,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.051343,0.0592229999999999,0.0542269,0.054103,0.0018625801700866,20,0.003679,0.004239,0.004031,0.004039,0.0001210619676033,20,0.006639,0.007119,0.006893,0.006879,0.0001529836592581,20,,,,,,,32,4,2048,768,151936,True,True,False,27,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.051143,0.059383,0.054405,0.053783,0.0021734939613442,20,0.003719,0.004079,0.003895,0.0038989999999999,8.799999999999998e-05,20,0.006639,0.0086389999999999,0.00700295,0.006919,0.0004123741595929,20,,,,,,,32,4,2048,768,151936,True,True,False,26,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.049703,0.062263,0.05486295,0.053343,0.0038747206412204,20,0.003719,0.004279,0.0040929999999999,0.004119,0.0001272949331277,20,0.006519,0.007119,0.00682695,0.006759,0.0001855447318034,20,,,,,,,32,4,2048,768,151936,True,True,False,25,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.050463,0.063183,0.0535869999999999,0.052683,0.0030198251605018,20,0.003879,0.004079,0.003967,0.003959,6.523802572120044e-05,20,0.006599,0.007119,0.006841,0.006739,0.0001821976948262,20,,,,,,,32,4,2048,768,151936,True,True,False,24,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.049102,0.0635029999999999,0.05516695,0.053263,0.0043720419082506,20,0.003799,0.004199,0.0040929999999999,0.004119,9.318798205777396e-05,20,0.006559,0.0071589999999999,0.006803,0.006699,0.0002007585614612,20,,,,,,,32,4,2048,768,151936,True,True,False,23,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.049903,0.0629029999999999,0.055865,0.053923,0.004389632786464,20,0.003839,0.004079,0.003985,0.003979,6.843975452907479e-05,20,0.006639,0.0071589999999999,0.006875,0.006819,0.0001747684181996,20,,,,,,,32,4,2048,768,151936,True,True,False,22,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.048263,0.065143,0.05680485,0.0560824999999999,0.0048078430431431,20,0.003759,0.004119,0.003999,0.003999,9.03327183250898e-05,20,0.006519,0.0071589999999999,0.006861,0.006779,0.0001941030654059,20,,,,,,,32,4,2048,768,151936,True,True,False,21,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.048823,0.063063,0.055769,0.054823,0.0041784451653695,20,0.003679,0.004039,0.0038029999999999,0.003779,8.569714114251417e-05,20,0.006479,0.0071589999999999,0.006853,0.006799,0.0001890079363413,20,,,,,,,32,4,2048,768,151936,True,True,False,20,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.052983,0.0595429999999999,0.05487495,0.054383,0.0017847143321831,20,0.003799,0.004199,0.004045,0.004059,8.224354077980843e-05,20,0.006639,0.007079,0.006887,0.006919,0.0001417603611733,20,,,,,,,32,4,2048,768,151936,True,True,False,19,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.051622,0.0579429999999999,0.0534228999999999,0.0532825,0.0013289515002437,20,0.003879,0.0041589999999999,0.003999,0.003999,7.694153624668542e-05,20,0.006559,0.007079,0.0068349999999999,0.006819,0.0001710672382427,20,,,,,,,32,4,2048,768,151936,True,True,False,18,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.051343,0.057503,0.0538029499999999,0.052803,0.0020778301296063,20,0.003999,0.004239,0.0041249999999999,0.004119,5.969924622639702e-05,20,0.006639,0.007119,0.006905,0.006899,0.0001560897177907,20,,,,,,,32,4,2048,768,151936,True,True,False,17,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
,,,,,,,,,,,,0.0488619999999999,0.0535829999999999,0.05064095,0.050123,0.0016517911028637,20,0.003839,0.004039,0.003965,0.003959,5.257375771237968e-05,20,0.006639,0.006999,0.006753,0.006739,9.901515035589227e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,16,2,2048,768,generic,generic,,,KERNEL_ONLY,BF16,none
